load_mw,timestamp,pca_abbrev,source
10865,2016011714,SG,Singapore EMA
10406,2016011715,SG,Singapore EMA
9868.384037184786,2016011716,SG,Singapore EMA
9492.434062297089,2016011717,SG,Singapore EMA
9254.184081256239,2016011718,SG,Singapore EMA
9097.424232137051,2016011719,SG,Singapore EMA
9073.378082621253,2016011720,SG,Singapore EMA
9342.187813036024,2016011721,SG,Singapore EMA
10051.6825261263,2016011722,SG,Singapore EMA
10851.15722369629,2016011723,SG,Singapore EMA
11972.23949950141,2016011800,SG,Singapore EMA
12648.16927544108,2016011801,SG,Singapore EMA
13008.90384127089,2016011802,SG,Singapore EMA
13102.02080284152,2016011803,SG,Singapore EMA
12891.38118775934,2016011804,SG,Singapore EMA
13101.55734122505,2016011805,SG,Singapore EMA
13221.07107639323,2016011806,SG,Singapore EMA
13180.45265447022,2016011807,SG,Singapore EMA
13087.91350799615,2016011808,SG,Singapore EMA
12910.08390181641,2016011809,SG,Singapore EMA
12407.66084421604,2016011810,SG,Singapore EMA
12380.52250589898,2016011811,SG,Singapore EMA
12228.1143549593,2016011812,SG,Singapore EMA
12009.57400363335,2016011813,SG,Singapore EMA
11522.34913664062,2016011814,SG,Singapore EMA
10879.08809542045,2016011815,SG,Singapore EMA
10274.48274152562,2016011816,SG,Singapore EMA
9887.005235941031,2016011817,SG,Singapore EMA
9653.529254857047,2016011818,SG,Singapore EMA
9463.958929781351,2016011819,SG,Singapore EMA
9430.406081647132,2016011820,SG,Singapore EMA
9683.544862345378,2016011821,SG,Singapore EMA
10387.96050145508,2016011822,SG,Singapore EMA
11082.74481811522,2016011823,SG,Singapore EMA
12143.63812777723,2016011900,SG,Singapore EMA
12760.93603983941,2016011901,SG,Singapore EMA
13084.69441776829,2016011902,SG,Singapore EMA
13176.8742902965,2016011903,SG,Singapore EMA
12942.9920296376,2016011904,SG,Singapore EMA
13009.50983404596,2016011905,SG,Singapore EMA
13098.48660804011,2016011906,SG,Singapore EMA
13014.7947658648,2016011907,SG,Singapore EMA
13053.89247461643,2016011908,SG,Singapore EMA
12810.42592220323,2016011909,SG,Singapore EMA
12455.21518656982,2016011910,SG,Singapore EMA
12453.31671474936,2016011911,SG,Singapore EMA
12341.15336790608,2016011912,SG,Singapore EMA
12161.58889431424,2016011913,SG,Singapore EMA
11570.487699053,2016011914,SG,Singapore EMA
10942.45474456677,2016011915,SG,Singapore EMA
10312.48349516929,2016011916,SG,Singapore EMA
9953.977980563963,2016011917,SG,Singapore EMA
9698.253605374895,2016011918,SG,Singapore EMA
9537.913755421272,2016011919,SG,Singapore EMA
9510.704831579584,2016011920,SG,Singapore EMA
9709.496968965659,2016011921,SG,Singapore EMA
10360.58190893555,2016011922,SG,Singapore EMA
11055.09437763997,2016011923,SG,Singapore EMA
12026.73150104657,2016012000,SG,Singapore EMA
12588.6306304069,2016012001,SG,Singapore EMA
12941.95535924479,2016012002,SG,Singapore EMA
13032.10153188124,2016012003,SG,Singapore EMA
12885.25597044839,2016012004,SG,Singapore EMA
13016.26710515054,2016012005,SG,Singapore EMA
12965.42063332899,2016012006,SG,Singapore EMA
12924.17592993055,2016012007,SG,Singapore EMA
12972.9768904598,2016012008,SG,Singapore EMA
12801.8692553407,2016012009,SG,Singapore EMA
12453.16795728109,2016012010,SG,Singapore EMA
12448.62025332411,2016012011,SG,Singapore EMA
12266.76309755452,2016012012,SG,Singapore EMA
12040.47731900145,2016012013,SG,Singapore EMA
11489.6546242372,2016012014,SG,Singapore EMA
10888.95392845785,2016012015,SG,Singapore EMA
10280.21507001437,2016012016,SG,Singapore EMA
9900.55587946995,2016012017,SG,Singapore EMA
9659.785496760243,2016012018,SG,Singapore EMA
9505.885625305993,2016012019,SG,Singapore EMA
9460.509688991966,2016012020,SG,Singapore EMA
9679.274325426166,2016012021,SG,Singapore EMA
10336.6512131676,2016012022,SG,Singapore EMA
11005.44361625109,2016012023,SG,Singapore EMA
11995.31166306261,2016012100,SG,Singapore EMA
12518.37996648845,2016012101,SG,Singapore EMA
12771.38997948866,2016012102,SG,Singapore EMA
12860.58153603325,2016012103,SG,Singapore EMA
12627.59918354548,2016012104,SG,Singapore EMA
